TimeFromStart (s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GNSSVelxX (m/s),GNSSVelxY (m/s),GNSSVelxZ (m/s)
53.49,-0.015118716700000001,0.2098480007,-9.8035752773,,,
53.5,-0.11269616660000001,0.1240739482,-9.731926024,,,
53.51,-0.1986829331,0.1836735639,-9.833996743,,,
53.52,-0.11682024919999999,0.1290392014,-9.8994553089,,,
53.53,-0.0755106972,0.11144800810000001,-9.8387263715,,,
53.54,-0.0819032954,0.2328339731,-9.6797063947,,,
53.55,-0.1405734452,0.1209109905,-9.8215736449,,,
53.56,-0.1573525253,0.1027025166,-9.9827311933,,,
53.57,-0.0097034492,0.2189166611,-9.8680816591,,,
53.58,-0.0239040688,0.10399519229999998,-9.710320830299999,,,
53.59,-0.18065198089999998,0.1741951215,-9.7948938608,,,
53.6,-0.1729389536,0.1767499256,-9.9131643772,,,
53.61,-0.12332572369999999,0.08478909150000001,-9.889807552099999,,,
